# Untuned case (Up to date)
# 704 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=12 seconds
18.7102713311,894.6503076184,77.0126697059,-15.8293368664,77.0710987091,15.8399426666,30.2850318086,0.0161773962,30.2850361294,0.0306057608,3.0004934595,0.5795498696,-43.5299998539,-172.6326243384,9.8020020574,0.0745945426,0.0000688033,0.2407310795,0.0003435171,1696.7940946338,261,0.2580679623,0.0033675883,106.511707178,90.3124087227,1.5849034787,0.2292012126,6862716.4592399625,0,10.2674070144,0.3755753364,0.3755818255,0.2076736931,0.0410723279,0.1268293155,0.0117909359,0.0187215566,-0.0000705217,0,0,0,0,0.0000016975,0.0081549897,10.221,82.0496358537,86.3821842381,-0.0006767092,1.9686688118,8.9182728229,905.9351701915,336.7033733307,0.05,0.060279393
18.7602713311,898.4812100226,76.2244842831,-15.7024763084,76.2823254011,15.7128063159,30.4342934963,0.0162232799,30.4342978203,0.0305420391,2.9700445065,0.5696666623,-43.5299998535,-172.632622487,9.8019901495,0.074107482,0.0000723025,0.9828828346,0.0084661243,1696.7940946338,261,0.2580679623,0.0033675883,106.5093974325,90.3124087227,1.5846774983,0.2268740891,6790597.754873188,0,10.0517373815,0.3754458947,0.3754522973,0.2076958508,0.0410587031,0.1266913408,0.0117124377,0.018716801,-0.0002156287,0,0,0,0,0.0000288829,0.0080715198,10.221,82.0496358537,86.3514312207,0.0023769839,1.9924680534,8.8933719479,905.5071609178,336.6882834005,0.05,0.060435981
18.8102713311,902.2728506128,75.4420144921,-15.5971130318,75.4996594473,15.5989327514,30.5822181878,0.0162654133,30.5822225133,0.0304732456,2.9497501627,0.2382604791,-43.5299998531,-172.6326206521,9.8019783633,0.059010359,0.0000695564,-1.0070051598,0.0186514467,1696.7940946338,261,0.2580679623,0.0033675883,106.5213992157,90.3124087227,1.5858517262,0.2245334795,6718149.801670746,0,9.8373489742,0.3753171405,0.3753212011,0.2077179089,0.0410452447,0.1265539868,0.0093206029,0.0147772467,0.0003535363,0,0,0,0,-0.0000309561,0.0079887391,10.221,82.0496358537,86.2979569405,0.0104692264,1.8483206331,8.8687263245,905.083539041,336.6733481526,0.05,0.060603208
18.8602713311,906.0254959158,74.6647195275,-15.4870910387,74.7228230579,15.4871218528,30.7295750248,0.0163070073,30.7295793515,0.0304046706,2.9461744052,0.0308940468,-43.5299998527,-172.6326188242,9.8019666979,0.144662884,0.0000724966,-0.0175708425,0.0200610486,1696.7940946338,261,0.2580679623,0.0033675883,106.4350640937,90.3124087227,1.5774048891,0.2222155859,6646454.926278319,0,9.6281007551,0.3751910604,0.3752153735,0.2077395274,0.0410321633,0.1264193697,0.0229127318,0.0363580192,0.0003601227,0,0,0,0,-0.0000000096,0.0079066468,10.221,82.0496358537,86.2682811102,0.0211254715,1.7263339395,8.8443341464,904.6642735163,336.6585664927,0.05,0.060763232
18.9102713311,909.7394310403,73.8938836371,-15.3442926445,73.9522122987,15.349336655,30.8767230787,0.0163513183,30.8767274083,0.0303419971,2.9366077194,0.3934704417,-43.5299998523,-172.632616999,9.8019551525,0.0108454078,0.0000721531,-0.4501743244,0.0378273252,1696.7940946338,261,0.2580679623,0.0033675883,106.5633171182,90.3124087227,1.5899528809,0.2199678536,6576930.086830488,0,9.4263218129,0.3750701549,0.3750702922,0.2077602773,0.0410197163,0.1262901614,0.0017098685,0.0025772704,-0.0004846121,0,0,0,0,-0.0000064471,0.007825191,10.221,82.0496358537,86.2833569513,0.0244604817,1.8821863676,8.8201935114,904.2493316468,336.6439372679,0.05,0.06101233
18.9602713311,913.4150086083,73.130384499,-15.2039026568,73.188025353,15.2237125542,31.0228193569,0.0163992252,31.0228236914,0.0302875858,2.9041208814,0.7763813078,-43.5299998519,-172.6326151868,9.8019437262,0.1812004019,0.0000700619,0.4716604214,0.0003615376,1696.7940946338,261,0.2580679623,0.0033675883,106.3943865316,90.3124087227,1.5734250865,0.2177471322,6508282.450259316,0,9.2307714362,0.3749520153,0.3749900817,0.2077805707,0.0410076488,0.1261637958,0.0287290763,0.0449600481,0.0002667648,0,0,0,0,0.0000072229,0.0077443244,10.221,82.0496358537,86.2901682373,0.0197717312,2.0811540182,8.7963022341,903.8386758667,336.6294591539,0.05,0.061197701
19.0102713311,917.0525689345,72.3729111357,-15.0968296065,72.4297341917,15.1098468549,31.1670989841,0.0164489705,31.1671033247,0.0302388266,2.868471516,0.6270628442,-43.5299998514,-172.6326133971,9.801932418,0.1206349119,0.0000760798,1.4227640611,0.0086469386,1696.7940946338,261,0.2580679623,0.0033675883,106.4507570764,90.3124087227,1.5789402557,0.2154953759,6438775.94683003,0,9.033403688,0.3748335555,0.3748504626,0.2078009374,0.0409956446,0.1260369734,0.0190856524,0.0296688572,-0.0003175361,0,0,0,0,0.0000671097,0.0076640717,10.221,82.0496358537,86.2412879161,0.0139224723,2.037434456,8.7726581482,903.4322689418,336.6151308378,0.05,0.061361752
19.0602713311,920.6523861801,71.6206256202,-14.9953784692,71.6769841116,15.0016427585,31.3098169988,0.0164985545,31.3098213458,0.0301917272,2.8418369237,0.4334858937,-43.529999851,-172.6326116268,9.8019212267,0.0349068632,0.0000657062,1.9875098568,0.0546809453,1696.7940946338,261,0.2580679623,0.0033675883,106.5320870287,90.3124087227,1.5868973981,0.2132652469,6369983.616063788,0,8.8403488012,0.3747175591,0.374718979,0.2078208999,0.0409839907,0.1259126685,0.0055061325,0.0089228081,0.0001171432,0,0,0,0,0.0001337243,0.0075844304,10.221,82.0496358537,86.1517682531,0.0038986312,2.0174679596,8.7492593446,903.0300780585,336.6009511628,0.05,0.061524391
19.1102713311,924.2147130437,70.8732643115,-14.8977568741,70.929585224,14.8994801843,31.4514713949,0.0165446963,31.4514757465,0.030139804,2.8260335968,0.2266051242,-43.5299998505,-172.6326098697,9.8019101516,0.0614465125,0.0000669612,-1.8520854746,0.0243809534,1696.7940946338,261,0.2580679623,0.0033675883,106.5036173783,90.3124087227,1.5841119906,0.2110491057,6301675.87176128,0,8.6511852863,0.3746035985,0.3746079925,0.2078405314,0.0409726429,0.1257904243,0.0097001529,0.0150835602,-0.0004468247,0,0,0,0,-0.0001185832,0.0075053889,10.221,82.0496358537,86.051904911,-0.0048717037,1.984973331,8.7261042339,902.6320758949,336.5869191657,0.05,0.061697199
19.1602713311,927.7397959154,70.1309146259,-14.7945376733,70.1874881444,14.7952435428,31.5925440344,0.0165846831,31.5925483875,0.030077738,2.8174999127,0.1445217108,-43.5299998502,-172.6326081198,9.8018991919,0.101548286,0.0000671582,-1.2982943474,0.0138512845,1696.7940946338,261,0.2580679623,0.0033675883,106.4619992522,90.3124087227,1.5800401653,0.2088575637,6234168.210822993,0,8.4663954043,0.374492188,0.3745041664,0.2078597434,0.040961652,0.1256707926,0.0160508662,0.0259161764,-0.0002379553,0,0,0,0,-0.0000595045,0.0074269294,10.221,82.0496358537,85.9713795535,-0.0090766146,1.9947321521,8.7031911917,902.2382345325,336.5730338622,0.05,0.06185519
