timestamp,pdop,hdop,vdop,lati,longi,gps_speed,gps_mode,gps_fix_type,gps_fix_quality,gps_sats_tracked,gps_alt,gps_height,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,pressure_pa,tc_temp_C,cjc_temp_C,oc_sc_flags,batt_voltage_V,batt_current_mA,baro_calculated_altitude_m,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,roll_deg,pitch_deg,yaw_deg
1.2560000000000002,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.056,0.993,-0.106,-0.7,1.8,0.5,101439,26.7,28.9,0,4.15,42.4,0.0860352975608124,0.0026902567890878947,0.003968916631461112,0.00017365596147349318,0.004973583684941508,-0.018320327350645867,0.00028643719410019106,-120.83160257446633,-83.44337534912609,-0.33081091128154794
1.3060000000000116,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.052,0.994,-0.111,-1.0,-3.2,0.3,101439,27.5,28.6,0,4.11,68.4,0.0860352975608124,0.0028582284637582236,0.0031649580948982384,0.0001843179719258536,0.0017452833018701324,-0.013838014111861752,0.0001400432239941287,-120.70037988617072,-83.44516226280967,-0.3598765081765524
1.3559999999999945,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.063,0.997,-0.081,-0.9,-2.8,0.2,101439,27.5,28.6,0,4.15,40.1,0.0860352975608124,0.002974520519437224,0.002470626123256687,0.00019953845822801128,0.0029063989252914816,-0.013935264753809778,0.000468776228092386,-120.96088682134616,-83.45470819121559,-0.24628094327229527
1.406000000000006,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.068,0.996,-0.065,-0.8,-1.8,0.1,101439,27.5,29.0,0,4.14,35.4,0.0860352975608124,0.0033379355993443318,0.0015475810075163726,0.00022160242744065958,0.011630204270989517,-0.022986539875794403,0.00041378254041334544,-121.21669308503917,-83.4573319677795,-0.11728710009613023
1.4559999999999889,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.066,0.993,-0.086,0.0,2.4,0.6,101439,27.7,28.9,0,4.14,42.9,0.0860352975608124,0.004099176181409637,0.0001777979747540721,0.00022070173915522226,0.01881941901163308,-0.0318047814347163,-0.0004498100718308504,-121.43714565355471,-83.45302394292429,0.02644934141436395
1.5060000000000002,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.065,0.991,-0.116,-0.4,4.6,0.4,101441,27.5,28.9,0,4.14,42.4,-0.0860346107954208,0.004963785589777767,-0.0014564064234742972,0.00017561700949534785,0.015764957323084226,-0.033563394494403605,-0.0013535791145637165,-121.08096628433368,-83.42751480037226,-0.19885788917308048
1.5560000000000116,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.061,0.995,-0.126,-0.6,-1.7,0.7,101441,27.5,28.6,0,4.14,42.4,-0.0860346107954208,0.005488739225517364,-0.0030336563285006174,0.00011975677171255301,0.005233188106494891,-0.02952660170663487,-0.0008808303967475685,-120.78023163233286,-83.41387439380729,-0.25763247271612966
1.6059999999999945,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.073,0.995,-0.095,-1.5,-4.0,0.4,101441,27.2,28.9,0,4.15,37.7,-0.0860346107954208,0.005575301847484547,-0.00452222790768823,0.00010211447829118338,-0.0017706832278063644,-0.030016261460889964,0.00017513865989254244,-120.72753954440192,-83.41647726289297,-0.3838097868055139
1.656000000000006,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.084,0.997,-0.08,-1.3,-4.0,0.7,101441,27.7,28.9,0,4.11,70.8,-0.0860346107954208,0.005476131902300999,-0.00629755647596849,0.00013007316554612637,-0.0021961145795346623,-0.04099688127030425,0.0009432088303049221,-121.10219053579162,-83.4500212695229,-0.19557672874970794
1.7059999999999889,0,0,0,-43.819213,172.65567,0.0,A,3,1,13,12.6,10.0,-0.068,0.998,-0.057,-0.6,0.9,0.7,101441,27.7,28.3,0,4.16,37.3,-0.0860346107954208,0.005563421847888014,-0.008709940298485621,0.00019037763291010883,0.0056877124030164546,-0.0554984716304139,0.0014689698642551987,-121.32205572548602,-83.48267367315371,-0.1631538217143645
